optimizer,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,experiment,circuit_family,n_qubits,depth,param_n,seed_index,seed,gate_count
template_phase2b,4,4,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,4,4,4,0,42,4
greedy_phase1,4,4,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,4,4,4,1,142,4
commutation_phase2,4,4,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,4,4,4,1,142,4
hybrid_phase1_2,4,4,0.0,0.9999999999999996,True,0.002064943313598633,E10_real_variance,GHZ,4,4,4,1,142,4
template_phase2b,4,4,0.0,0.9999999999999996,True,0.0006582736968994141,E10_real_variance,GHZ,4,4,4,1,142,4
greedy_phase1,4,4,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,4,4,4,2,242,4
commutation_phase2,4,4,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,4,4,4,2,242,4
hybrid_phase1_2,4,4,0.0,0.9999999999999996,True,0.002405405044555664,E10_real_variance,GHZ,4,4,4,2,242,4
template_phase2b,4,4,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,4,4,4,2,242,4
greedy_phase1,4,4,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,4,4,4,3,342,4
commutation_phase2,4,4,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,4,4,4,3,342,4
hybrid_phase1_2,4,4,0.0,0.9999999999999996,True,0.001991748809814453,E10_real_variance,GHZ,4,4,4,3,342,4
template_phase2b,4,4,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,4,4,4,3,342,4
greedy_phase1,4,4,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,4,4,4,4,442,4
commutation_phase2,4,4,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,4,4,4,4,442,4
hybrid_phase1_2,4,4,0.0,0.9999999999999996,True,0.0019845962524414062,E10_real_variance,GHZ,4,4,4,4,442,4
template_phase2b,4,4,0.0,0.9999999999999996,True,0.0,E10_real_variance,GHZ,4,4,4,4,442,4
greedy_phase1,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,0,42,5
commutation_phase2,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,0,42,5
hybrid_phase1_2,5,5,0.0,0.9999999999999998,True,0.003021717071533203,E10_real_variance,GHZ,5,5,5,0,42,5
template_phase2b,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,0,42,5
greedy_phase1,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,1,142,5
commutation_phase2,5,5,0.0,0.9999999999999998,True,0.0,E10_real_variance,GHZ,5,5,5,1,142,5
