experiment,run_id,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,3,3,10,3,3,0.0,0.9999999999999996,exact,True,0.0009868144989013672,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,3,3,10,3,3,0.0,0.9999999999999996,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,3,3,10,3,3,0.0,0.9999999999999996,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,3,3,10,3,3,0.0,1.0,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,3,3,10,3,3,0.0,1.0,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,3,3,10,3,3,0.0,1.0,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,3,3,20,6,6,0.0,0.9999999999999987,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,3,3,20,6,6,0.0,0.9999999999999987,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,3,3,20,6,6,0.0,0.9999999999999987,exact,True,0.0,1,0
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,3,3,20,6,6,0.0,0.999999999999999,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,3,3,20,6,6,0.0,0.999999999999999,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,3,3,20,6,6,0.0,0.999999999999999,exact,True,0.0,2,1
E27_new_families,e27_full_20260721_040333,greedy_phase1,QuantumVolume,3,3,20,6,6,0.0,1.0,exact,True,0.0008974075317382812,3,2
E27_new_families,e27_full_20260721_040333,commutation_phase2a,QuantumVolume,3,3,20,6,6,0.0,1.0,exact,True,0.0,3,2
E27_new_families,e27_full_20260721_040333,template_phase2b,QuantumVolume,3,3,20,6,6,0.0,1.0,exact,True,0.0,3,2
