coefficient,equal_family_estimate_pp,family_cluster_se_pp,family_cluster_df,t14_ci95_low_pp,t14_ci95_high_pp,t14_p_value_model_based,wild_cluster_bootstrap_t_p_value,wild_cluster_bootstrap_replicates,wild_cluster_bootstrap_seed,inference_role,confirmatory_claim_allowed,probability_sample_of_families,unseen_family_generalization_status,multiplicity_family_id,multiplicity_family_size,holm_adjusted_t14_p,holm_adjusted_wild_cluster_p
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.120],2.540714982236067,2.4673709324784396,14,-2.7512693478968657,7.832699312369,0.3206013813196782,0.50385,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.10],2.1255899096163122,2.079968938799117,14,-2.3354997816007326,6.586679600833357,0.324147711871382,0.50385,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.30],2.145888235823866,2.0783796496417866,14,-2.3117927691652853,6.603569240813018,0.31935393914630533,0.50385,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.120],2.153207076403576,2.077825093663238,14,-2.303284524305079,6.609698677112231,0.317640533208088,0.50385,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.10],-0.04396562771559428,0.1931349475164892,14,-0.45819889212049475,0.37026763668930623,0.8232155003351045,0.62585,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.30],-0.17284012659402734,0.14808548776260838,14,-0.49045190942095485,0.14477165623290014,0.26263959942820614,0.3742,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.120],-0.03648154487859574,0.19298938830274862,14,-0.4504026158195617,0.37743952606237025,0.8527792360682727,0.75005,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.10],0.3796590139051599,0.2774839012577708,14,-0.215484763623762,0.9748027914340818,0.19280217843126066,0.30955,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.30],0.3563162160263591,0.27881580397758127,14,-0.2416842087256127,0.9543166407783309,0.22204612864502682,0.3732,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.WCL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.64]:C(budget_seconds)[T.120],0.3510263609538954,0.2792410040609831,14,-0.24788602727665787,0.9499387491844486,0.22929508911050694,0.4959,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.10],-0.6349206068862525,0.6977669257081565,14,-2.131481820413826,0.8616406066413211,0.3782580086821016,0.75005,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
C(listing_model)[T.RANDOM_TOPOLOGICAL]:C(rule_set)[T.COMMUTATION_PLUS_TEMPLATES]:C(window_gates)[T.16]:C(budget_seconds)[T.30],-0.5344574661741566,0.5712223848513122,14,-1.7596076330434107,0.6906927006950976,0.3653190164467388,0.62735,19999,20260826,EXPLORATORY_EQUAL_FAMILY_MODEL_BASED_SENSITIVITY,False,False,BLOCKED,E31_POSTHOC_FACTORIAL_71,71,1.0,1.0
