experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers,bv_secret
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,7,6,9,20,20,0.0,0.9999999999999962,exact,True,0.0010173320770263672,51,0,,,,,,,,,63
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,7,6,9,20,8,0.6,0.9999999999999973,exact,True,0.003994941711425781,51,0,6.0,0.0,0.0,6.0,0.0,0.0,87.0,0.0,63
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,7,6,6,17,17,0.0,0.9999999999999962,exact,True,0.0,1051,1,,,,,,,,,56
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,7,6,6,17,11,0.3529411764705882,0.9999999999999967,exact,True,0.0009987354278564453,1051,1,,,,,,,,,56
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,7,6,6,17,5,0.7058823529411764,0.9999999999999973,exact,True,0.0029952526092529297,1051,1,3.0,0.0,0.0,6.0,0.0,0.0,33.0,33.0,56
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,7,6,5,16,16,0.0,0.9999999999999962,exact,True,0.0,2051,2,,,,,,,,,9
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,7,6,5,16,8,0.5,0.9999999999999967,exact,True,0.0020198822021484375,2051,2,,,,,,,,,9
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,7,6,5,16,4,0.75,0.9999999999999973,exact,True,0.0019965171813964844,2051,2,2.0,0.0,0.0,6.0,0.0,0.0,21.0,34.0,9
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,7,6,5,16,16,0.0,0.9999999999999962,exact,True,0.0,3051,3,,,,,,,,,40
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,7,6,5,16,8,0.5,0.9999999999999967,exact,True,0.0010020732879638672,3051,3,,,,,,,,,40
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,7,6,5,16,4,0.75,0.9999999999999973,exact,True,0.0019991397857666016,3051,3,2.0,0.0,0.0,6.0,0.0,0.0,21.0,34.0,40
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,7,6,4,15,15,0.0,0.9999999999999962,exact,True,0.0,4051,4,,,,,,,,,4
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,commutation_phase2a,BV,7,6,4,15,5,0.6666666666666667,0.9999999999999971,exact,True,0.0009860992431640625,4051,4,,,,,,,,,4
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,template_phase2b,BV,7,6,4,15,3,0.8,0.9999999999999973,exact,True,0.0030019283294677734,4051,4,1.0,0.0,0.0,6.0,0.0,0.0,12.0,30.0,4
E26_phase2b_full_v8,e26v8_bv_20260720_155611,bv,greedy_phase1,BV,7,6,6,17,17,0.0,0.9999999999999962,exact,True,0.0,5051,5,,,,,,,,,52
