experiment,n_qubits,depth,trial,seed,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
3,3,4,48,90,12,0.7252615920466581,0.9670154560622107,12,12,0.0,0.9999999999999982,False,0.0,3.0.0
3,3,4,49,91,12,-3.2034265038149176e-16,-4.27123533841989e-16,12,12,0.0,1.0,False,0.0,3.0.0
3,3,5,0,42,15,0.7985199038287126,1.0646932051049502,15,15,0.0,1.0,False,0.0009980201721191406,3.0.0
3,3,5,1,43,15,3.2034265038149176e-16,4.27123533841989e-16,15,15,0.0,0.999999999999999,False,0.0009999275207519531,3.0.0
3,3,5,2,44,15,0.7873277183432605,1.0497702911243474,15,15,0.0,0.9999999999999984,False,0.0010004043579101562,3.0.0
3,3,5,3,45,15,0.31414612010065274,0.418861493467537,15,15,0.0,0.9999999999999988,False,0.00099945068359375,3.0.0
3,3,5,4,46,15,0.8896624672274961,1.1862166229699949,15,15,0.0,0.9999999999999977,False,0.0,3.0.0
3,3,5,5,47,15,1.601713251907458e-15,2.1356176692099438e-15,15,15,0.0,0.9999999999999984,False,0.0009996891021728516,3.0.0
3,3,5,6,48,15,0.20785608584244358,0.2771414477899248,15,15,0.0,0.9999999999999984,False,0.0009999275207519531,3.0.0
3,3,5,7,49,15,-0.0,-0.0,15,15,0.0,1.0000000000000009,False,0.0010006427764892578,3.0.0
3,3,5,8,50,15,9.61027951144475e-16,1.2813706015259667e-15,15,15,0.0,0.9999999999999988,False,0.0010006427764892578,3.0.0
3,3,5,9,51,15,0.7414909886425347,0.9886546515233796,15,15,0.0,0.999999999999998,False,0.0007002353668212891,3.0.0
3,3,5,10,52,15,1.601713251907458e-15,2.1356176692099438e-15,15,15,0.0,0.9999999999999987,False,0.0,3.0.0
3,3,5,11,53,15,1.0000000000000002,1.3333333333333337,15,15,0.0,0.9999999999999988,False,0.000989675521850586,3.0.0
3,3,5,12,54,15,9.61027951144475e-16,1.2813706015259667e-15,15,15,0.0,0.9999999999999984,False,0.0009996891021728516,3.0.0
3,3,5,13,55,15,0.26461397284719756,0.3528186304629301,15,15,0.0,0.9999999999999977,False,0.0010068416595458984,3.0.0
3,3,5,14,56,15,0.5277921453512869,0.7037228604683826,15,15,0.0,0.9999999999999988,False,0.0,3.0.0
3,3,5,15,57,15,9.61027951144475e-16,1.2813706015259667e-15,15,15,0.0,0.9999999999999987,False,0.0,3.0.0
3,3,5,16,58,15,0.9369957113339016,1.2493276151118688,15,15,0.0,0.999999999999999,False,0.0,3.0.0
3,3,5,17,59,15,-0.0,-0.0,15,15,0.0,0.9999999999999992,False,0.0009996891021728516,3.0.0
3,3,5,18,60,15,0.9677811704053191,1.2903748938737587,15,15,0.0,0.999999999999999,False,0.0009992122650146484,3.0.0
3,3,5,19,61,15,0.06288942920032521,0.08385257226710029,15,15,0.0,0.9999999999999996,False,0.0,3.0.0
