experiment,circuit_id,circuit_family,n_qubits,variant_idx,tool,gate_count,base_gate_count,unitary_check,error
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,11,prototype_greedy,12,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,12,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,12,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,12,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,12,prototype_greedy,12,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,13,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,13,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,13,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,13,prototype_greedy,8,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,14,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,14,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,14,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,14,prototype_greedy,8,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,15,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,15,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,15,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,15,prototype_greedy,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,16,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,16,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,16,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,16,prototype_greedy,4,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,17,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,17,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,17,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,17,prototype_greedy,4,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,18,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,18,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,18,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,18,prototype_greedy,12,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,19,qiskit_L3,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,19,tket_FPO_noswap,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,19,cirq_default,0,,pass,
E_listing_sensitivity_v8,cnot_chain_8,CNOT,8,19,prototype_greedy,4,,pass,
E_listing_sensitivity_v8,ghz_8,GHZ,8,0,qiskit_L3,8,8.0,pass,
