family,n_qubits,param_n,depth,seed,circuit_sha256,gate_reduction,phase1_only_reduction,total_gates,log_total_gates,gate_density,original_depth,depth_per_qubit,two_qubit_fraction,gate_diversity,rotation_fraction,adjacent_cancellable_pairs,phase1_action_density,commutation_enabled_pairs,commutation_density,mergeable_rotation_pairs,mergeable_rotation_density,structural_upper_bound,commuting_block_count,commuting_block_density,mean_block_size,max_block_size,self_inverse_fraction
QuantumVolume,8,8,20,2,0efea6df8f5d769b48c3e71ceb270dc4b6e59818d6288126daa722ece448f7d9,0.0,0.0,8,2.1972245773362196,1.0,2,0.25,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0.125,8.0,8,0.0
QuantumVolume,8,8,20,3,ec1fcbf6bc6d4617c451a682a67574932d44d4ba85e2f66903b544d9ca7b9a1b,0.0,0.0,8,2.1972245773362196,1.0,2,0.25,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,2,0.25,4.0,4,0.0
QuantumVolume,8,8,30,1,feaf7278726cc37d63509d33970c7622ab36752ed4c0294c3b27fa5181c926e8,0.0,0.0,12,2.5649493574615367,1.5,3,0.375,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,2,0.16666666666666666,6.0,8,0.0
QuantumVolume,8,8,30,2,1f14cffb88aa3c6b30415d9456ad43b59be49584c9d80e280e4312777f2273ae,0.0,0.0,12,2.5649493574615367,1.5,3,0.375,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0.08333333333333333,12.0,12,0.0
QuantumVolume,8,8,30,3,0b9931f946bf4e8787d33da82f624183c74e51fe8352f5eeb9520ba477699b2a,0.0,0.0,12,2.5649493574615367,1.5,3,0.375,1.0,1,0.0,0,0.0,0,0.0,0,0.0,0.0,2,0.16666666666666666,6.0,8,0.0
RepetitionCode,4,3,10,1,b943e1aa3c910b357d5fd234e04d55bc88c96a3c8a0c25d6c652949b56234873,0.4878048780487805,0.4878048780487805,82,4.418840607796598,20.5,44,11.0,0.5,3,0.0,20,0.24390243902439024,0,0.0,0,0.0,0.4878048780487805,33,0.4024390243902439,2.484848484848485,6,1.0
RepetitionCode,4,3,20,1,e42559bf38c33d5f9e47a6a791587cb0711603f180753190686fd50bd29ba16e,0.49382716049382713,0.49382716049382713,162,5.093750200806762,40.5,84,21.0,0.5,3,0.0,40,0.24691358024691357,0,0.0,0,0.0,0.49382716049382713,63,0.3888888888888889,2.5714285714285716,6,1.0
RepetitionCode,4,3,30,1,06983862f8b68e6923a9a630bdfa7ce1c9fe73a25e6b33728b63edbd5073f79c,0.49586776859504134,0.49586776859504134,242,5.493061443340548,60.5,124,31.0,0.5,3,0.0,60,0.24793388429752067,0,0.0,0,0.0,0.49586776859504134,93,0.384297520661157,2.6021505376344085,6,1.0
RepetitionCode,5,5,10,1,0b4a5318953a352bf3578897e6057721c1fbc1c48ef19704b1da2e4593691fb5,0.4819277108433735,0.4819277108433735,83,4.430816798843313,16.6,45,9.0,0.5060240963855421,3,0.0,20,0.24096385542168675,0,0.0,0,0.0,0.4819277108433735,34,0.40963855421686746,2.4411764705882355,6,1.0
RepetitionCode,5,5,20,1,cde1cd55648a385edbec4f2daa87339be23e8dbe87733b86b1f6441b35e2bdee,0.49079754601227,0.49079754601227,163,5.099866427824199,32.6,85,17.0,0.5030674846625767,3,0.0,40,0.24539877300613497,0,0.0,0,0.0,0.49079754601226994,64,0.39263803680981596,2.546875,6,1.0
RepetitionCode,5,5,30,1,63b5bd2b17b61c6e3d16e89d1fa006f3834bed70303ec318c20d71a0ae36cab2,0.49382716049382713,0.49382716049382713,243,5.497168225293202,48.6,125,25.0,0.5020576131687243,3,0.0,60,0.24691358024691357,0,0.0,0,0.0,0.49382716049382713,94,0.3868312757201646,2.5851063829787235,6,1.0
RepetitionCode,6,6,10,1,4d503b2a95fc7007348140792c026c11dbfb2b4bfa5a9c7d1dbb9bb5a13d2040,0.47619047619047616,0.47619047619047616,84,4.442651256490317,14.0,46,7.666666666666667,0.5119047619047619,3,0.0,20,0.23809523809523808,0,0.0,0,0.0,0.47619047619047616,35,0.4166666666666667,2.4,6,1.0
RepetitionCode,6,6,20,1,5fcc199c6d861cdfe473c76e50aad29d108fc3a5ea816f6de4527b5ecf000668,0.4878048780487805,0.4878048780487805,164,5.10594547390058,27.333333333333332,86,14.333333333333334,0.5060975609756098,3,0.0,40,0.24390243902439024,0,0.0,0,0.0,0.4878048780487805,65,0.39634146341463417,2.523076923076923,6,1.0
