row_idx,family,n_qubits,trial_seed,input_circuit_sha256,total_gates,log_total_gates,gate_density,original_depth,depth_per_qubit,two_qubit_fraction,gate_diversity,rotation_fraction,adjacent_cancellable_pairs,phase1_action_density,commutation_enabled_pairs,commutation_density,mergeable_rotation_pairs,mergeable_rotation_density,structural_upper_bound,commuting_block_count,commuting_block_density,mean_block_size,max_block_size,self_inverse_fraction
50,GHZ,6,1224821422,df499dded1e0518f2f6266b9f0e35d3c81e6057b5ba6e6decbb0f26370e5bb03,6,1.9459101490553132,1.0,6,1.0,0.8333333333333334,2,0.0,0,0.0,0,0.0,0,0.0,0.0,6,1.0,1.0,1,1.0
51,GHZ,6,508464061,df499dded1e0518f2f6266b9f0e35d3c81e6057b5ba6e6decbb0f26370e5bb03,6,1.9459101490553132,1.0,6,1.0,0.8333333333333334,2,0.0,0,0.0,0,0.0,0,0.0,0.0,6,1.0,1.0,1,1.0
52,GHZ,6,857592370,df499dded1e0518f2f6266b9f0e35d3c81e6057b5ba6e6decbb0f26370e5bb03,6,1.9459101490553132,1.0,6,1.0,0.8333333333333334,2,0.0,0,0.0,0,0.0,0,0.0,0.0,6,1.0,1.0,1,1.0
53,GHZ,6,1642661739,df499dded1e0518f2f6266b9f0e35d3c81e6057b5ba6e6decbb0f26370e5bb03,6,1.9459101490553132,1.0,6,1.0,0.8333333333333334,2,0.0,0,0.0,0,0.0,0,0.0,0.0,6,1.0,1.0,1,1.0
54,GHZ,6,61136438,df499dded1e0518f2f6266b9f0e35d3c81e6057b5ba6e6decbb0f26370e5bb03,6,1.9459101490553132,1.0,6,1.0,0.8333333333333334,2,0.0,0,0.0,0,0.0,0,0.0,0.0,6,1.0,1.0,1,1.0
55,GHZ,6,2075460851,df499dded1e0518f2f6266b9f0e35d3c81e6057b5ba6e6decbb0f26370e5bb03,6,1.9459101490553132,1.0,6,1.0,0.8333333333333334,2,0.0,0,0.0,0,0.0,0,0.0,0.0,6,1.0,1.0,1,1.0
56,GHZ,6,396917567,df499dded1e0518f2f6266b9f0e35d3c81e6057b5ba6e6decbb0f26370e5bb03,6,1.9459101490553132,1.0,6,1.0,0.8333333333333334,2,0.0,0,0.0,0,0.0,0,0.0,0.0,6,1.0,1.0,1,1.0
57,GHZ,6,2004731384,df499dded1e0518f2f6266b9f0e35d3c81e6057b5ba6e6decbb0f26370e5bb03,6,1.9459101490553132,1.0,6,1.0,0.8333333333333334,2,0.0,0,0.0,0,0.0,0,0.0,0.0,6,1.0,1.0,1,1.0
58,GHZ,6,199502978,df499dded1e0518f2f6266b9f0e35d3c81e6057b5ba6e6decbb0f26370e5bb03,6,1.9459101490553132,1.0,6,1.0,0.8333333333333334,2,0.0,0,0.0,0,0.0,0,0.0,0.0,6,1.0,1.0,1,1.0
59,GHZ,6,1545932260,df499dded1e0518f2f6266b9f0e35d3c81e6057b5ba6e6decbb0f26370e5bb03,6,1.9459101490553132,1.0,6,1.0,0.8333333333333334,2,0.0,0,0.0,0,0.0,0,0.0,0.0,6,1.0,1.0,1,1.0
