experiment,n_qubits,depth,trial,seed,optimizer,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
4,5,15,38,80,sa,75,1.8872623945026392,1.078435654001508,75,75,0.0,0.9999999999999948,False,1.9910905361175537,3.0.0
4,5,15,38,80,ga,75,1.8872623945026392,1.078435654001508,75,75,0.0,0.9999999999999948,False,6.058784008026123,3.0.0
4,5,15,39,81,greedy,75,0.9867891758307961,0.5638795290461692,75,75,0.0,0.9999999999999947,False,0.0021369457244873047,3.0.0
4,5,15,39,81,rls,75,0.9867891758307961,0.5638795290461692,75,75,0.0,0.9999999999999948,False,4.949483156204224,3.0.0
4,5,15,39,81,sa,75,0.9867891758307961,0.5638795290461692,75,75,0.0,0.9999999999999947,False,1.858358383178711,3.0.0
4,5,15,39,81,ga,75,0.9867891758307961,0.5638795290461692,75,75,0.0,0.9999999999999948,False,6.035975933074951,3.0.0
4,5,15,40,82,greedy,75,1.3864495743884135,0.792256899650522,75,75,0.0,0.9999999999999952,False,0.0022094249725341797,3.0.0
4,5,15,40,82,rls,75,1.3864495743884135,0.792256899650522,75,75,0.0,0.9999999999999957,False,5.247338533401489,3.0.0
4,5,15,40,82,sa,75,1.3864495743884135,0.792256899650522,75,81,-0.08000000000000007,0.9999999999999957,False,2.1077919006347656,3.0.0
4,5,15,40,82,ga,75,1.3864495743884135,0.792256899650522,75,75,0.0,0.9999999999999957,False,6.0054779052734375,3.0.0
4,5,15,41,83,greedy,75,0.0970661815256071,0.055466389443204055,75,75,0.0,0.9999999999999936,False,0.001573324203491211,3.0.0
4,5,15,41,83,rls,75,0.0970661815256071,0.055466389443204055,75,75,0.0,0.9999999999999936,False,4.8309807777404785,3.0.0
4,5,15,41,83,sa,75,0.0970661815256071,0.055466389443204055,75,75,0.0,0.9999999999999936,False,1.9110524654388428,3.0.0
4,5,15,41,83,ga,75,0.0970661815256071,0.055466389443204055,75,75,0.0,0.9999999999999936,False,6.064101934432983,3.0.0
4,5,15,42,84,greedy,75,0.6817887724055358,0.38959358423173474,75,75,0.0,0.9999999999999936,False,0.0016245841979980469,3.0.0
4,5,15,42,84,rls,75,0.6817887724055358,0.38959358423173474,75,75,0.0,0.999999999999994,False,5.954452991485596,3.0.0
4,5,15,42,84,sa,75,0.6817887724055358,0.38959358423173474,75,77,-0.026666666666666616,0.999999999999994,False,2.1340749263763428,3.0.0
4,5,15,42,84,ga,75,0.6817887724055358,0.38959358423173474,75,75,0.0,0.9999999999999936,False,9.006304740905762,3.0.0
4,5,15,43,85,greedy,75,0.9456305626381479,0.5403603215075131,75,75,0.0,0.9999999999999948,False,0.001996755599975586,3.0.0
4,5,15,43,85,rls,75,0.9456305626381479,0.5403603215075131,75,75,0.0,0.9999999999999948,False,6.057526111602783,3.0.0
4,5,15,43,85,sa,75,0.9456305626381479,0.5403603215075131,75,75,0.0,0.9999999999999948,False,2.3532261848449707,3.0.0
4,5,15,43,85,ga,75,0.9456305626381479,0.5403603215075131,75,75,0.0,0.9999999999999948,False,7.1092610359191895,3.0.0
4,5,15,44,86,greedy,75,0.8491516300849136,0.4852295029056649,75,75,0.0,0.9999999999999913,False,0.0015408992767333984,3.0.0
4,5,15,44,86,rls,75,0.8491516300849136,0.4852295029056649,75,75,0.0,0.9999999999999913,False,6.550211668014526,3.0.0
4,5,15,44,86,sa,75,0.8491516300849136,0.4852295029056649,75,75,0.0,0.9999999999999913,False,3.294267416000366,3.0.0
4,5,15,44,86,ga,75,0.8491516300849136,0.4852295029056649,75,75,0.0,0.9999999999999913,False,9.094479322433472,3.0.0
4,5,15,45,87,greedy,75,1.5653265410816104,0.8944723091894916,75,75,0.0,0.9999999999999952,False,0.002984285354614258,3.0.0
4,5,15,45,87,rls,75,1.5653265410816104,0.8944723091894916,75,75,0.0,0.9999999999999957,False,7.771368503570557,3.0.0
4,5,15,45,87,sa,75,1.5653265410816104,0.8944723091894916,75,81,-0.08000000000000007,0.9999999999999957,False,2.7157742977142334,3.0.0
4,5,15,45,87,ga,75,1.5653265410816104,0.8944723091894916,75,75,0.0,0.9999999999999952,False,9.615485906600952,3.0.0
4,5,15,46,88,greedy,75,0.9464349024934264,0.540819944281958,75,75,0.0,0.9999999999999908,False,0.001999378204345703,3.0.0
4,5,15,46,88,rls,75,0.9464349024934264,0.540819944281958,75,75,0.0,0.9999999999999908,False,5.93906831741333,3.0.0
4,5,15,46,88,sa,75,0.9464349024934264,0.540819944281958,75,75,0.0,0.9999999999999908,False,2.5122132301330566,3.0.0
4,5,15,46,88,ga,75,0.9464349024934264,0.540819944281958,75,75,0.0,0.9999999999999908,False,6.2112627029418945,3.0.0
