experiment,n_qubits,depth,circuit_id,sample,base_entropy,perturbed_entropy,entropy_diff,base_gates,perturbed_gates,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
5,5,10,1,4,0.841894323979751,0.841894323979751,0.0,50,49,49,0.0,0.999999999999997,False,0.0020132064819335938,3.0.0
5,5,10,1,5,0.841894323979751,0.8418943239797507,2.220446049250313e-16,50,50,50,0.0,0.9999999999999974,False,0.0024175643920898438,3.0.0
5,5,10,1,6,0.841894323979751,0.8419451357956687,5.081181591770623e-05,50,49,49,0.0,0.9999999999999972,False,0.002012491226196289,3.0.0
5,5,10,1,7,0.841894323979751,0.7815023319418637,0.060391992037887254,50,50,50,0.0,0.9999999999999974,False,0.0029947757720947266,3.0.0
5,5,10,1,8,0.841894323979751,0.841894323979751,0.0,50,49,49,0.0,0.9999999999999974,False,0.0010001659393310547,3.0.0
5,5,10,1,9,0.841894323979751,0.8583524949091488,0.01645817092939783,50,50,50,0.0,0.999999999999997,False,0.0025339126586914062,3.0.0
5,5,10,1,10,0.841894323979751,0.8349379832988244,0.006956340680926543,50,49,49,0.0,0.9999999999999974,False,0.002513408660888672,3.0.0
5,5,10,1,11,0.841894323979751,0.8050053449566079,0.03688897902314303,50,50,50,0.0,0.9999999999999974,False,0.0015172958374023438,3.0.0
5,5,10,1,12,0.841894323979751,1.3913501161944208,0.5494557922146699,50,50,50,0.0,0.9999999999999974,False,0.0019991397857666016,3.0.0
5,5,10,1,13,0.841894323979751,0.842845019200392,0.0009506952206410624,50,49,49,0.0,0.9999999999999977,False,0.0015041828155517578,3.0.0
5,5,10,1,14,0.841894323979751,0.8933495874308904,0.05145526345113949,50,49,49,0.0,0.9999999999999974,False,0.0030586719512939453,3.0.0
5,5,10,1,15,0.841894323979751,0.8933495874308904,0.05145526345113949,50,49,49,0.0,0.9999999999999974,False,0.0010008811950683594,3.0.0
5,5,10,1,16,0.841894323979751,1.4132456979418095,0.5713513739620586,50,50,50,0.0,0.9999999999999979,False,0.0020134449005126953,3.0.0
