experiment,n_qubits,depth,entanglement_density,trial,seed,gate_count,entanglement_entropy,normalized_entropy,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,optimizer_version
2,6,20,0.0,45,87,120,1.1692506738924403e-14,4.677002695569761e-15,120,120,0.0,0.9999999999999851,False,0.00730133056640625,3.0.0
2,6,20,0.0,46,88,120,1.1532335413733658e-14,4.612934165493463e-15,120,120,0.0,0.9999999999999833,False,0.004007101058959961,3.0.0
2,6,20,0.0,47,89,120,8.008566259537273e-15,3.203426503814909e-15,120,120,0.0,0.9999999999999882,False,0.006517171859741211,3.0.0
2,6,20,0.0,48,90,120,9.450108186253977e-15,3.7800432745015906e-15,120,120,0.0,0.9999999999999869,False,0.003855466842651367,3.0.0
2,6,20,0.0,49,91,120,7.688223609155783e-15,3.0752894436623132e-15,120,120,0.0,0.9999999999999893,False,0.004007816314697266,3.0.0
2,6,20,0.0,50,92,120,7.688223609155783e-15,3.0752894436623132e-15,120,120,0.0,0.9999999999999903,False,0.00714111328125,3.0.0
2,6,20,0.0,51,93,120,1.0090793487016954e-14,4.036317394806782e-15,120,120,0.0,0.999999999999986,False,0.004510641098022461,3.0.0
2,6,20,0.0,52,94,120,9.770450836635466e-15,3.9081803346541865e-15,120,120,0.0,0.9999999999999847,False,0.006838083267211914,3.0.0
2,6,20,0.0,53,95,120,3.844111804577896e-15,1.5376447218311584e-15,120,120,0.0,0.999999999999991,False,0.008007526397705078,3.0.0
2,6,20,0.0,54,96,120,8.649251560300252e-15,3.4597006241201007e-15,120,120,0.0,0.9999999999999887,False,0.004036903381347656,3.0.0
2,6,20,0.0,55,97,120,8.328908909918763e-15,3.331563563967505e-15,120,120,0.0,0.9999999999999867,False,0.007524967193603516,3.0.0
2,6,20,0.0,56,98,120,9.61027951144472e-15,3.844111804577888e-15,120,120,0.0,0.9999999999999865,False,0.0030210018157958984,3.0.0
2,6,20,0.0,57,99,120,8.649251560300252e-15,3.4597006241201007e-15,120,120,0.0,0.9999999999999878,False,0.030657052993774414,3.0.0
2,6,20,0.0,58,100,120,7.047538308392801e-15,2.8190153233571205e-15,120,120,0.0,0.9999999999999893,False,0.006117820739746094,3.0.0
2,6,20,0.0,59,101,120,8.969594210681742e-15,3.587837684272697e-15,120,120,0.0,0.9999999999999887,False,0.012111425399780273,3.0.0
2,6,20,0.0,60,102,120,1.02509648122077e-14,4.10038592488308e-15,120,120,0.0,0.9999999999999858,False,0.0041081905364990234,3.0.0
2,6,20,0.0,61,103,120,1.02509648122077e-14,4.10038592488308e-15,120,120,0.0,0.9999999999999858,False,0.0026009082794189453,3.0.0
2,6,20,0.0,62,104,120,1.0411136137398445e-14,4.164454454959378e-15,120,120,0.0,0.9999999999999858,False,0.009526968002319336,3.0.0
2,6,20,0.0,63,105,120,8.008566259537273e-15,3.203426503814909e-15,120,120,0.0,0.9999999999999873,False,0.007577180862426758,3.0.0
2,6,20,0.0,64,106,120,1.0731478787779933e-14,4.2925915151119736e-15,120,120,0.0,0.9999999999999847,False,0.012019634246826172,3.0.0
2,6,20,0.0,65,107,120,1.0891650112970679e-14,4.356660045188272e-15,120,120,0.0,0.999999999999984,False,0.011542081832885742,3.0.0
