n_qubits,depth,success_rate,mean_reduction,mean_entropy,n_trials
9,21,0.08,0.1502645502645502,0.4350447713146082,50
9,22,0.1,0.15090909090909088,0.45885206210631146,50
9,23,0.08,0.15265700483091785,0.472528385522233,50
9,24,0.04,0.152037037037037,0.5412598241684612,50
9,25,0.02,0.15217777777777775,0.5513068018646055,50
9,26,0.0,0.15367521367521364,0.5703159054135348,50
9,27,0.02,0.1532510288065843,0.6239381121483847,50
9,28,0.0,0.15222222222222218,0.6077851431624706,50
9,29,0.0,0.15249042145593866,0.6144695977791343,50
9,30,0.02,0.1536296296296296,0.6109593831834133,50
10,1,0.18,0.16799999999999998,7.474661842234806e-17,50
10,2,0.12,0.14599999999999994,0.042280144803071525,50
10,3,0.18,0.15466666666666662,0.06077578728592899,50
10,4,0.22,0.14999999999999997,0.04921602083487864,50
10,5,0.2,0.1536,0.06393117172614153,50
10,6,0.22,0.16399999999999995,0.10628319953079839,50
10,7,0.18,0.15599999999999994,0.10250946404696464,50
10,8,0.18,0.15649999999999994,0.14833079841083208,50
10,9,0.14,0.1542222222222222,0.15371434575874598,50
10,10,0.12,0.14959999999999998,0.1652043589164379,50
10,11,0.14,0.1527272727272727,0.2030183390788231,50
10,12,0.12,0.1533333333333333,0.20075477331530145,50
10,13,0.18,0.15415384615384609,0.30704610638572266,50
10,14,0.18,0.1548571428571428,0.2931825699502989,50
10,15,0.14,0.15626666666666664,0.31707519300735026,50
10,16,0.16,0.15649999999999994,0.31030339602842044,50
10,17,0.18,0.15764705882352936,0.31919689143634694,50
10,18,0.14,0.1564444444444444,0.4080241543425711,50
10,19,0.14,0.1572631578947368,0.41271052451775225,50
10,20,0.14,0.15739999999999996,0.411226840138841,50
10,21,0.14,0.15847619047619044,0.46823696221727557,50
10,22,0.12,0.15745454545454543,0.45613683205376887,50
10,23,0.1,0.15634782608695644,0.47594011479233894,50
10,24,0.1,0.15649999999999997,0.46787754352684024,50
10,25,0.1,0.15583999999999998,0.5133949444026767,50
10,26,0.1,0.15538461538461534,0.47088032884041525,50
10,27,0.08,0.15466666666666662,0.4953323830008912,50
10,28,0.08,0.15385714285714283,0.5473616622125901,50
10,29,0.08,0.15379310344827585,0.5337419136855968,50
10,30,0.08,0.15519999999999995,0.575574671782419,50
